feature,mean_abs_shap
aa_000,0.8792710659997327
bj_000,0.12024281562482704
cb_000,0.11476470874626635
ck_000,0.11079744202157905
bk_000,0.09709370292140306
cs_low_ratio,0.09597012385965636
bs_000,0.09120831547669127
az_low_ratio,0.08971863818100002
bb_000,0.07913401276680519
ay_entropy,0.07680188336778072
bi_000,0.07640523559725866
az_skew,0.07566037410962545
ag_skew,0.07426114538733014
cs_entropy,0.07232890012234237
cn_skew,0.06430150866340073
am_0,0.06410915793213262
cu_000,0.06204550476812527
ai_000,0.06150097779755259
cs_high_ratio,0.060064249126274276
ee_kurt,0.05937534959125099
ct_000,0.05669864847978984
bc_000,0.0532774096230114
ci_000,0.053019164809884105
ay_center_mass,0.050259667827030785
cc_000,0.049761461301098556
ee_skew,0.048755657617543496
ba_high_ratio,0.04735851347500878
ay_skew,0.0461513304094346
an_000,0.04565813596928216
bx_000,0.043165780309459376
ag_low_ratio,0.0419889220713628
cm_000,0.04186633782357074
ay_high_ratio,0.04015770068107727
ay_kurt,0.03909939794203486
ee_entropy,0.03870420765483417
cs_skew,0.03802861886675728
cj_000,0.03690057913283726
cn_high_ratio,0.0356327089133088
bl_000,0.03536249946592655
ag_center_mass,0.03532317389999406
cz_000,0.03507251191938212
ee_high_ratio,0.03456810428334618
ac_000,0.034424768190663424
ba_kurt,0.033926646231098805
cs_center_mass,0.03299072330202751
ao_000,0.03282734057553825
cn_entropy,0.032435824363710404
de_000,0.03159191109041157
ba_low_ratio,0.03145018044007146
cx_000,0.03087373297398308
cl_000,0.030365765245936767
cn_kurt,0.03032388615530455
cs_kurt,0.030211852415806362
cf_000,0.029817632397959846
ba_entropy,0.028315430071665103
az_entropy,0.025894129695256073
cy_000,0.025315581017422276
cn_center_mass,0.025111583635477372
cg_000,0.024388277692491918
al_000,0.023626551356340238
bd_000,0.02291417185710115
dv_000,0.022845062558506164
dx_000,0.022482301686262057
ag_entropy,0.022298142307033014
ca_000,0.021928520593355292
aq_000,0.021085239134984307
ee_center_mass,0.01993044833665802
db_000,0.01968676321527602
ec_00,0.01966272916118641
ap_000,0.019535833730836418
ag_high_ratio,0.0187691901092059
az_kurt,0.017477663599181462
bt_000,0.01734170624480544
eb_000,0.017089330549232583
ed_000,0.017035060070253353
co_000,0.016397765498168706
cn_low_ratio,0.016181436563041596
da_000,0.015969403004010067
cp_000,0.015888560188596287
az_center_mass,0.015805596266960185
av_000,0.01577067953033874
dy_000,0.014962718981358085
ag_kurt,0.014880590517289119
ch_000,0.014702768379478181
ee_low_ratio,0.01356192267432278
aj_000,0.01276207324739479
dn_000,0.012678482179380075
ce_000,0.012045098139766681
Total_Operational_Events,0.011906906513099317
bz_000,0.011008259256549477
ds_000,0.01054783347757875
bu_000,0.009998476170050173
at_000,0.009583737745266836
ba_skew,0.009193298862274801
ay_low_ratio,0.009002878434743289
dh_000,0.008964714351367592
Module_8_Connectivity,0.00844556554350908
bf_000,0.00843317212828716
bm_000,0.008239181876465483
ad_000,0.00811442391192786
be_000,0.00762911185926563
cv_000,0.007538170090744305
dp_000,0.007385443680678158
bh_000,0.007365371034150642
ax_000,0.00723255153528728
dq_000,0.007197566991264542
dg_000,0.00691531854324596
dt_000,0.006607177980363679
by_000,0.005319103314002248
az_high_ratio,0.004038852203431786
ah_000,0.0035620971714498437
du_000,0.0033251598817116666
Module_10_Connectivity,0.0032202120232647773
do_000,0.0031434810988252193
ba_center_mass,0.003058723736335769
Module_5_Connectivity,0.002815085071041444
dc_000,0.002704357109415502
dd_000,0.002156532435246578
ar_000,0.0015513726118516974
di_000,0.001508512041597019
bg_000,0.0014679455131186554
Module_4_Connectivity,0.0014315185921561927
dr_000,0.001194819775537088
df_000,0.0008991539526861205
ak_000,0.0007196015276143779
Module_11_Connectivity,0.0003427644328683026
af_000,0.000151222840317167
dz_000,0.00011428147173061192
dj_000,7.269466867613059e-05
dk_000,3.736349536621408e-05
Module_6_Connectivity,0.0
Module_12_Connectivity,0.0
Module_13_Connectivity,0.0
Module_1_Connectivity,0.0
Module_2_Connectivity,0.0
Module_3_Connectivity,0.0
eg_000,0.0
ef_000,0.0
as_000,0.0
cq_000,0.0
Module_7_Connectivity,0.0
Module_9_Connectivity,0.0
dl_000,0.0
ae_000,0.0
bv_000,0.0
ea_000,0.0
au_000,0.0
dm_000,0.0
