feature,mean_abs_shap,shap_rank,pi_mean,pi_rank,avg_rank
bu_000,0.0006670461557025849,146.0,486.0,42.0,94.0
dr_000,0.010095441402319622,101.0,82.0,87.0,94.0
bf_000,0.01242500686892824,91.0,20.0,98.0,94.5
dt_000,0.013922114220080937,89.0,16.0,100.0,94.5
cs_001,0.007264288947554139,115.0,155.0,76.0,95.5
aj_000,0.022705566285521683,67.0,-59.0,126.0,96.5
cn_006,0.008906271974316376,105.0,65.0,91.0,98.0
ee_000,0.00815227131883751,108.0,79.0,88.0,98.0
cn_005,0.007991507533251061,110.0,49.0,93.0,101.5
ba_002,0.005912835450868093,122.0,122.0,81.0,101.5
ac_000,0.01101332677935805,95.0,-2.0,111.0,103.0
bh_000,0.007947052350477993,111.0,41.0,96.0,103.5
dd_000,0.005490600853617936,124.0,106.0,84.0,104.0
Module_11_Connectivity,0.004862072827859924,127.0,121.0,82.0,104.5
eb_000,0.012963813947786094,90.0,-27.0,120.0,105.0
da_000,0.011829721239960983,92.0,-34.0,122.0,107.0
dp_000,0.014467124651695695,88.0,-69.0,127.0,107.5
az_007,0.0061383103588132076,119.0,12.0,102.0,110.5
Module_8_Connectivity,0.0035613424517611505,132.0,77.0,89.0,110.5
ay_009,0.010148716784544895,99.0,-36.0,123.0,111.0
az_009,0.007166970454542201,117.0,3.0,107.0,112.0
cn_001,0.007582343316938616,114.0,-9.0,114.0,114.0
do_000,0.009414247583717441,102.0,-83.0,129.0,115.5
ch_000,0.00882437593990945,106.0,-52.0,125.0,115.5
ba_005,0.008246647045091565,107.0,-76.0,128.0,117.5
cn_004,0.0015268940990679845,138.0,30.0,97.0,117.5
by_000,0.002072475223559772,137.0,19.0,99.0,118.0
ar_000,0.0038888884793436417,131.0,7.0,105.0,118.0
az_000,0.0059725263226942625,121.0,-48.0,124.0,122.5
ee_006,0.004369542296815683,129.0,-16.0,116.0,122.5
ec_00,0.002103074613776145,136.0,-1.0,110.0,123.0
di_000,0.0013952572809956309,139.0,2.0,108.0,123.5
Module_10_Connectivity,0.0012725046699477306,140.0,3.0,107.0,123.5
ay_004,0.005254052168578626,126.0,-33.0,121.0,123.5
az_008,0.0024846444575026046,135.0,-4.0,112.0,123.5
ay_003,0.004020971889789467,130.0,-20.0,118.0,124.0
ba_003,0.002828689651822148,133.0,-18.0,117.0,125.0
dh_000,0.0010842191658291351,142.0,0.0,109.0,125.5
ak_000,0.00041142702174400576,148.0,10.0,103.0,125.5
cs_005,0.000748613806722707,145.0,-2.0,111.0,128.0
Module_4_Connectivity,0.0011146634689188206,141.0,-11.0,115.0,128.0
bg_000,0.00035890923989304654,149.0,0.0,109.0,129.0
ce_000,0.00041699971075558154,147.0,-2.0,111.0,129.0
Module_5_Connectivity,0.00023582173241215086,150.0,0.0,109.0,129.5
ay_001,0.00020540491257524894,151.0,0.0,109.0,130.0
Module_13_Connectivity,0.0001942761593770282,152.0,0.0,109.0,130.5
Module_1_Connectivity,0.000834624080403572,144.0,-20.0,118.0,131.0
df_000,0.0001581861654285957,153.0,0.0,109.0,131.0
ag_000,6.491500850581126e-05,154.0,-1.0,110.0,132.0
Module_9_Connectivity,2.402123367379046e-05,155.0,0.0,109.0,132.0
dk_000,1.4919837511679646e-05,156.0,0.0,109.0,132.5
af_000,1.1799234364126345e-05,157.0,0.0,109.0,133.0
cs_009,0.0,158.0,0.0,109.0,133.5
ea_000,0.0,158.0,0.0,109.0,133.5
dm_000,0.0,158.0,0.0,109.0,133.5
dj_000,0.0,158.0,0.0,109.0,133.5
dl_000,0.0,158.0,0.0,109.0,133.5
au_000,0.0,158.0,0.0,109.0,133.5
dz_000,0.0,158.0,0.0,109.0,133.5
bv_000,0.0,158.0,0.0,109.0,133.5
ae_000,0.0,158.0,0.0,109.0,133.5
eg_000,0.0,158.0,0.0,109.0,133.5
cq_000,0.0,158.0,0.0,109.0,133.5
Module_3_Connectivity,0.0,158.0,0.0,109.0,133.5
Module_12_Connectivity,0.0,158.0,0.0,109.0,133.5
Module_2_Connectivity,0.0,158.0,0.0,109.0,133.5
Module_6_Connectivity,0.0,158.0,0.0,109.0,133.5
Module_7_Connectivity,0.0,158.0,0.0,109.0,133.5
ef_000,0.0,158.0,0.0,109.0,133.5
as_000,0.0,158.0,0.0,109.0,133.5
