Algo,Role,Feature,Mean,Odds_Ratio
LiNGAM,Root,ay_000,0.249,1.2827420330698114
LiNGAM,Root,dg_000,0.222,1.2485713778642835
PC,Root,ay_000,0.224,1.2510710194283623
PC,Root,ac_000,-0.833,0.43474309872360845
PC,Root,bk_000,1.003,2.726448918454098
PC,Root,ai_000,0.888,2.4302642590013805
PC,Root,dg_000,0.261,1.29822766543369
