Algo,Node,Role,PyMC_Mean,PyMC_Odds_Ratio
PC,cb_000,Unconnected,,
PC,ck_000,Root,3.6,36.59823444367799
PC,ag_009,Root,-0.334,0.7160537822272085
PC,cn_001,Root,0.263,1.3008267189517242
PC,ba_008,Root,0.16,1.1735108709918103
PC,ay_000,Root,0.209,1.2324449985302548
PC,class,Target,,
LiNGAM,cb_000,Mediator,,
LiNGAM,ck_000,Mediator,,
LiNGAM,ag_009,Mediator,,
LiNGAM,cn_001,Root,0.957,2.6038731248931537
LiNGAM,ba_008,Mediator,,
LiNGAM,ay_000,Root,0.194,1.2140962829562332
LiNGAM,class,Target,,
