Algo,Role,Feature,Mean,Odds_Ratio
LiNGAM,Root,cn_001,0.957,2.6038731248931537
LiNGAM,Root,ay_000,0.194,1.2140962829562332
PC,Root,ck_000,3.6,36.59823444367799
PC,Root,ba_008,0.16,1.1735108709918103
PC,Root,cn_001,0.263,1.3008267189517242
PC,Root,ay_000,0.209,1.2324449985302548
PC,Root,ag_009,-0.334,0.7160537822272085
