Algo,Role,Feature,Mean,Odds_Ratio
LiNGAM,Root,ay_000,0.238,1.2687091928249108
LiNGAM,Root,dg_000,0.198,1.2189623938216427
LiNGAM,Root,bk_000,1.381,3.9788785172357057
PC,Root,dg_000,0.197,1.2177440407059084
PC,Root,ay_000,0.238,1.2687091928249108
PC,Root,bk_000,1.383,3.9868442373350366
