Algo,Node,Role,PyMC_Mean,PyMC_Odds_Ratio
PC,cb_000,Mediator,,
PC,ay_008,Mediator,,
PC,ck_000,Mediator,,
PC,ag_009,Mediator,,
PC,ac_000,Root,-0.833,0.43474309872360845
PC,bc_000,Mediator,,
PC,ba_008,Mediator,,
PC,az_006,Mediator,,
PC,bq_000,Mediator,,
PC,bk_000,Root,1.003,2.726448918454098
PC,bm_000,Mediator,,
PC,br_000_is_missing,Mediator,,
PC,ai_000,Root,0.888,2.4302642590013805
PC,ag_002,Mediator,,
PC,dg_000,Root,0.261,1.29822766543369
PC,cj_000,Mediator,,
PC,ay_000,Root,0.224,1.2510710194283623
PC,class,Target,,
LiNGAM,cb_000,Mediator,,
LiNGAM,ay_008,Unconnected,,
LiNGAM,ck_000,Mediator,,
LiNGAM,ag_009,Mediator,,
LiNGAM,ac_000,Mediator,,
LiNGAM,bc_000,Mediator,,
LiNGAM,ba_008,Mediator,,
LiNGAM,az_006,Unconnected,,
LiNGAM,bq_000,Mediator,,
LiNGAM,bk_000,Mediator,,
LiNGAM,bm_000,Mediator,,
LiNGAM,br_000_is_missing,Mediator,,
LiNGAM,ai_000,Mediator,,
LiNGAM,ag_002,Mediator,,
LiNGAM,dg_000,Root,0.222,1.2485713778642835
LiNGAM,cj_000,Mediator,,
LiNGAM,ay_000,Root,0.249,1.2827420330698114
LiNGAM,class,Target,,
