Algo,Role,Feature,Mean,Odds_Ratio
LiNGAM,Root,ai_000,0.972,2.643225627680798
LiNGAM,Root,ay_000,0.232,1.2611197288283293
LiNGAM,Root,dg_000,0.284,1.3284329307527947
PC,Root,ai_000,0.945,2.572813378588326
PC,Root,ay_000,0.228,1.256085325432344
PC,Root,ac_000,-0.844,0.4299871304192398
PC,Root,dg_000,0.273,1.3139002448247392
PC,Root,bm_000,0.684,1.9817890552569948
