Algo,Role,Feature,Mean,Odds_Ratio
LiNGAM,Root,cn_001,0.962,2.6169250932469144
PC,Root,ag_009,-0.29,0.7482635675785653
PC,Root,ck_000,3.657,38.744933544016426
PC,Root,cn_001,0.288,1.3337573041233846
PC,Root,ba_008,0.052,1.0533757425133647
