Algo,Role,Feature,Mean,Odds_Ratio
LiNGAM,Root,cn_001,0.962,2.6169250932469144
PC,Root,cn_001,0.306,1.3579823065478924
PC,Root,ck_000,3.666,39.09521183384152
PC,Root,ag_009,-0.281,0.755028335480208
