Algo,Node,Role,PyMC_Mean,PyMC_Odds_Ratio
PC,cb_000,Mediator,,
PC,ck_000,Mediator,,
PC,ac_000,Root,-0.844,0.4299871304192398
PC,ag_009,Mediator,,
PC,ai_000,Root,0.945,2.572813378588326
PC,bq_000,Mediator,,
PC,bm_000,Root,0.684,1.9817890552569948
PC,bk_000,Mediator,,
PC,bc_000,Mediator,,
PC,ba_008,Mediator,,
PC,cn_001,Mediator,,
PC,az_006,Mediator,,
PC,ay_000,Root,0.228,1.256085325432344
PC,dg_000,Root,0.273,1.3139002448247392
PC,class,Target,,
LiNGAM,cb_000,Mediator,,
LiNGAM,ck_000,Mediator,,
LiNGAM,ac_000,Mediator,,
LiNGAM,ag_009,Mediator,,
LiNGAM,ai_000,Root,0.972,2.643225627680798
LiNGAM,bq_000,Mediator,,
LiNGAM,bm_000,Mediator,,
LiNGAM,bk_000,Mediator,,
LiNGAM,bc_000,Mediator,,
LiNGAM,ba_008,Mediator,,
LiNGAM,cn_001,Mediator,,
LiNGAM,az_006,Mediator,,
LiNGAM,ay_000,Root,0.232,1.2611197288283293
LiNGAM,dg_000,Root,0.284,1.3284329307527947
LiNGAM,class,Target,,
